xmin,ymin,xmax,ymax
207.2497100830078,482.3499450683594,494.1872253417969,589.1030883789062
209.78759765625,480.518310546875,503.5409851074219,589.0009155273438
213.75576782226562,480.3433532714844,511.293212890625,586.0917358398438
232.1591796875,483.1009826660156,520.1742553710938,594.2555541992188
241.9773712158203,480.9457092285156,549.2943725585938,593.6946411132812
256.53277587890625,478.2814636230469,572.6727294921875,592.2326049804688
273.0144958496094,477.84527587890625,605.6762084960938,607.1459350585938
290.51904296875,474.3321228027344,654.2514038085938,613.2924194335938
316.6162109375,466.7638854980469,690.2451171875,610.6437377929688
331.8171691894531,467.1589050292969,740.7289428710938,614.03076171875
332.8757629394531,472.95928955078125,807.9132080078125,627.6438598632812
379.2879638671875,464.94970703125,827.05810546875,623.2454223632812
389.7624816894531,473.9122619628906,879.2892456054688,626.1256713867188
429.4559631347656,481.0280456542969,827.1931762695312,622.4088745117188
641.0825805664062,479.4725036621094,1010.1107788085938,632.085205078125
459.50811767578125,478.4303283691406,882.05810546875,638.4268188476562
526.9091186523438,460.4808654785156,891.8539428710938,621.3916015625
562.2750244140625,462.7591247558594,1003.9945678710938,636.2631225585938
639.4701538085938,479.1316833496094,1005.27734375,646.6751708984375
712.5548706054688,480.986572265625,1019.10595703125,642.2817993164062
802.5560913085938,477.070556640625,1013.0211181640625,630.8078002929688
788.9243774414062,562.2894897460938,1024.0,690.2626342773438
908.6184692382812,460.92950439453125,1020.37939453125,597.0553588867188
