xmin,ymin,xmax,ymax
626.217041015625,479.18896484375,933.9328002929688,575.19873046875
621.2377319335938,481.94171142578125,920.6735229492188,573.71875
608.7720947265625,481.03961181640625,912.4407348632812,574.8114624023438
602.552490234375,483.30743408203125,882.849609375,576.7208251953125
574.678955078125,481.1766662597656,862.0130004882812,573.5831298828125
542.7072143554688,480.0874938964844,831.6018676757812,572.4677124023438
510.97735595703125,483.3486328125,793.3381958007812,572.2188720703125
476.3937072753906,486.4335021972656,747.706787109375,571.6982421875
438.9610900878906,485.6116638183594,698.2880249023438,568.8068237304688
391.35699462890625,482.8219909667969,660.7957763671875,568.2117309570312
352.7504577636719,481.5361022949219,622.3157348632812,568.6328735351562
316.8465881347656,485.8702697753906,583.07763671875,571.812255859375
279.3880310058594,485.55157470703125,543.4850463867188,568.0592651367188
241.56541442871094,483.339599609375,506.1496276855469,567.2767333984375
205.68699645996094,486.77618408203125,461.5236511230469,567.6566772460938
175.69839477539062,485.6495056152344,433.8263244628906,567.7493286132812
143.979248046875,482.171142578125,398.18292236328125,564.6089477539062
118.32746887207031,484.9805603027344,364.47845458984375,566.2210083007812
90.73148345947266,481.67584228515625,332.3146057128906,564.3573608398438
62.30694580078125,484.47442626953125,299.1017761230469,562.4163208007812
33.86628341674805,485.2080993652344,271.73486328125,563.6228637695312
10.320581436157227,486.1274108886719,244.0684814453125,563.3745727539062
0.3668456971645355,488.2923278808594,209.9856719970703,560.771728515625
2.4885315895080566,487.9444885253906,190.9947967529297,558.460693359375
4.657263278961182,490.282470703125,167.12815856933594,553.9457397460938
4.599401950836182,485.23834228515625,140.34320068359375,554.8412475585938
