xmin,ymin,xmax,ymax
210.63577270507812,484.7110290527344,439.6803894042969,569.0123901367188
212.89097595214844,484.7757263183594,445.7369079589844,569.7160034179688
217.3821258544922,484.2421875,449.9757995605469,569.8048706054688
224.4167022705078,485.7548828125,452.76519775390625,574.4055786132812
228.9595489501953,485.12255859375,475.7972717285156,574.6526489257812
235.58914184570312,484.4277038574219,484.6210021972656,575.3921508789062
242.66796875,483.4233093261719,489.5177917480469,574.100341796875
246.1269989013672,482.2633361816406,503.4113464355469,574.2069091796875
249.8373260498047,481.97393798828125,512.7431030273438,575.8856811523438
262.4874267578125,480.0018615722656,518.5745239257812,578.2709350585938
268.3432312011719,484.7701721191406,536.5379028320312,588.9007568359375
272.89996337890625,482.8915710449219,552.611572265625,585.167236328125
279.93585205078125,479.5858459472656,556.2720947265625,584.9866333007812
286.6795349121094,478.26611328125,572.1019897460938,584.6882934570312
296.068603515625,476.4062194824219,578.0863037109375,588.5062255859375
297.8435363769531,478.505859375,594.8590698242188,594.95947265625
305.20880126953125,478.9845886230469,613.2240600585938,592.9747314453125
315.06890869140625,480.1349792480469,625.070556640625,597.7302856445312
321.5498046875,480.20318603515625,642.7753295898438,599.2987670898438
336.506591796875,473.2569274902344,655.2819213867188,600.2496337890625
343.66082763671875,479.0428161621094,669.3951416015625,602.0083618164062
345.3147888183594,474.1310729980469,696.2615966796875,605.9835815429688
354.6598815917969,473.19219970703125,711.8974609375,603.1659545898438
375.2481689453125,469.41015625,725.8544311523438,600.0103759765625
382.79132080078125,471.6697692871094,747.1669921875,608.9912719726562
378.8352966308594,473.33843994140625,778.3304443359375,614.1354370117188
