xmin,ymin,xmax,ymax
444.8356628417969,481.2557678222656,731.9096069335938,578.1163940429688
443.81689453125,483.2456970214844,744.23095703125,576.9744262695312
451.953369140625,483.7925720214844,755.4398193359375,577.9454345703125
468.8224792480469,482.3290710449219,763.4677734375,577.2689819335938
490.92608642578125,483.89337158203125,785.4911499023438,577.02197265625
514.5050659179688,483.9603576660156,809.6260986328125,578.2680053710938
549.0640869140625,480.9522399902344,838.2374877929688,575.43408203125
588.3756103515625,483.1529846191406,859.9994506835938,571.116455078125
620.4404296875,483.37188720703125,905.7408447265625,575.1534423828125
653.0298461914062,480.2705078125,933.1138916015625,572.3109741210938
691.6557006835938,481.43682861328125,956.7960815429688,570.28515625
726.001220703125,482.4082946777344,991.78369140625,570.7692260742188
754.6430053710938,479.4305725097656,1022.3432006835938,571.3694458007812
786.9978637695312,484.634521484375,1024.0,570.3786010742188
817.05029296875,484.132080078125,1022.6397705078125,565.7876586914062
849.5321655273438,484.283203125,1024.0,562.3203125
878.4912109375,481.06427001953125,1023.5046997070312,564.0189819335938
905.5730590820312,483.2333984375,1023.6632690429688,562.6272583007812
929.62939453125,485.5961608886719,1023.85888671875,561.7550659179688
950.9818725585938,485.03033447265625,1024.0,563.5952758789062
975.3622436523438,486.6960144042969,1024.0,561.0844116210938
1001.4404296875,485.91754150390625,1023.9791259765625,554.992431640625
